source,target,weight,shared_events
712,4494,0.25,1
304,305,0.25,1
1710,1787,0.25,1
3737,1265,0.25,1
2336,329,0.25,1
2820,1427,0.2436,2
3609,2607,0.2436,2
652,1685,0.2436,2
3839,3955,0.2436,2
55,3839,0.2436,2
55,2638,0.2435,4
2206,403,0.2426,3
2199,2206,0.2426,3
4097,3608,0.2417,2
1622,17027,0.2386,4
304,7108,0.2381,2
3608,395,0.2374,3
2638,960,0.237,2
55,1199,0.237,2
2611,4575,0.2366,3
529,480,0.2361,3
530,480,0.2361,3
529,1063,0.2361,3
3737,789,0.2361,2
2138,3737,0.2361,2
35,206,0.2361,2
3737,1787,0.2361,2
530,1999,0.2361,2
1063,480,0.2361,3
2,531,0.2338,2
72,303,0.2338,2
1038,3535,0.2338,2
2,991,0.2333,2
1451,991,0.2333,2
2320,789,0.2319,3
426,1451,0.2292,2
5777,3545,0.2267,3
529,3545,0.2267,3
529,1265,0.2255,2
1265,1291,0.2255,2
622,706,0.2255,2
17027,1787,0.2255,3
1063,2433,0.2222,2
2294,2433,0.2222,2
1210,2433,0.2222,2
1210,2294,0.2222,2
26,1210,0.2222,2
26,2433,0.2222,2
2294,1796,0.2222,2
1063,2294,0.2222,2
1796,2433,0.2222,2
1063,1210,0.2222,2
1210,1796,0.2222,2
530,3531,0.2198,2
3839,1314,0.2193,2
55,738,0.2193,2
986,991,0.2193,2
206,986,0.2193,2
6207,966,0.2167,2
4825,2381,0.2167,2
17027,4363,0.2143,2
3608,17027,0.2116,3
2,1265,0.2095,2
1038,1787,0.2095,2
2,2611,0.2088,3
2213,789,0.2064,3
1038,2820,0.2054,3
26,789,0.2054,2
2,134,0.2054,2
2213,4363,0.202,2
2138,4363,0.202,2
531,3318,0.2019,2
3737,2820,0.2019,2
10393,3955,0.2019,2
530,70,0.2017,2
1683,789,0.2017,2
2138,4575,0.2017,2
4494,959,0.2,1
3955,3973,0.2,1
549,1265,0.2,1
2871,4494,0.2,1
4,17027,0.2,1
3592,1265,0.2,1
3592,3531,0.2,1
738,3531,0.2,1
738,1265,0.2,1
738,329,0.2,1
738,3955,0.2,1
1264,1265,0.2,1
1800,946,0.2,1
1787,2820,0.2,1
1787,1885,0.2,1
303,966,0.2,1
305,2871,0.2,1
303,4494,0.2,1
303,2871,0.2,1
1810,2871,0.2,1
1199,3973,0.2,1
1199,3955,0.2,1
549,3839,0.2,1
1182,1984,0.2,1
1185,3531,0.2,1
10393,329,0.2,1
549,1185,0.2,1
1199,991,0.2,1
530,1199,0.2,1
2160,426,0.2,1
622,3955,0.2,1
532,2160,0.2,1
1632,4707,0.2,1
532,1199,0.2,1
3609,17027,0.2,1
70,206,0.2,1
70,1265,0.2,1
986,10239,0.2,1
4097,3545,0.2,1
647,712,0.1964,2
